ingredient_name,fat_g,carbs_g,protein_g,calories,sodium_mg,category
"Alcoholic beverage, wine, table, white, Muller Thurgau",0.0,3.48,0.07,76.0,0.0,other
"Alcoholic beverage, wine, table, white, Muscat",0.0,5.23,0.07,82.0,0.0,other
"Alcoholic beverage, wine, table, white, Pinot Blanc",0.0,1.94,0.07,81.0,0.0,other
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",0.0,2.06,0.07,83.0,0.0,other
"Alcoholic beverage, wine, table, white, Riesling",0.0,3.74,0.07,80.0,0.0,other
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",0.0,2.05,0.07,81.0,0.0,other
"Alcoholic beverage, wine, table, white, Semillon",0.0,3.12,0.07,82.0,0.0,other
"Alcoholic beverages, beer, higher alcohol",0.0,0.27,0.9,58.0,4.0,other
"Alcoholic beverages, wine, rose",0.0,3.8,0.36,83.0,5.0,other
"Alfalfa seeds, sprouted, raw",0.69,2.1,3.99,23.0,6.0,other
"Almond butter, creamy",53.0,21.2,20.8,0.0,0.996,other
"Almond milk, unsweetened, plain, refrigerated",1.56,0.671,0.656,0.0,59.2,other
"Almond milk, unsweetened, plain, shelf stable",1.22,0.337,0.555,0.0,59.6,other
"Amaranth grain, cooked",1.58,18.7,3.8,102.0,6.0,other
"Amaranth grain, uncooked",7.02,65.2,13.6,371.0,4.0,other
"Amaranth leaves, cooked, boiled, drained, with salt",0.18,4.11,2.11,21.0,257.0,other
"Amaranth leaves, cooked, boiled, drained, without salt",0.18,4.11,2.11,21.0,21.0,other
"Amaranth leaves, raw",0.33,4.02,2.46,23.0,20.0,other
"Anchovies, canned in olive oil, with salt, drained",9.85,2.41,26.9,0.0,5400.0,other
"Andrea's, Gluten Free Soft Dinner Roll",8.2,40.2,5.65,257.0,544.0,other
"Animal fat, bacon grease",99.5,0.0,0.0,897.0,150.0,other
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",0.13,11.3,0.1,46.0,4.0,other
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",0.17,11.5,0.12,48.0,5.0,other
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",0.13,11.3,0.1,46.0,4.0,other
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",0.1,11.5,0.14,47.0,7.0,other
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",0.1,11.5,0.14,47.0,7.0,other
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",0.37,41.0,0.51,166.0,25.0,other
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",0.37,41.0,0.51,166.0,25.0,other
"Apple juice, with added vitamin C, from concentrate, shelf stable",0.286,11.4,0.0859,0.0,4.87,other
"APPLEBEE'S, 9 oz house sirloin steak",9.08,0.0,26.8,189.0,604.0,other
"APPLEBEE'S, chicken tenders platter",16.2,18.0,19.6,297.0,740.0,other
"APPLEBEE'S, chicken tenders, from kids' menu",16.2,18.4,19.2,296.0,763.0,other
"APPLEBEE'S, chili",9.79,4.57,12.6,157.0,381.0,other
"APPLEBEE'S, coleslaw",7.09,13.2,0.79,120.0,178.0,other
"APPLEBEE'S, crunchy onion rings",19.6,40.2,4.58,356.0,833.0,other
"APPLEBEE'S, Double Crunch Shrimp",18.9,26.0,12.3,323.0,838.0,other
"APPLEBEE'S, fish, hand battered",9.14,16.6,13.2,202.0,607.0,other
"APPLEBEE'S, french fries",13.2,39.5,3.31,290.0,618.0,other
"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu",4.34,21.1,5.01,143.0,288.0,other
"APPLEBEE'S, mozzarella sticks",18.4,22.9,14.9,316.0,838.0,other
"Apples, canned, sweetened, sliced, drained, heated",0.43,16.8,0.18,67.0,3.0,other
"Apples, dehydrated (low moisture), sulfured, stewed",0.12,19.9,0.28,74.0,26.0,other
"Apples, dehydrated (low moisture), sulfured, uncooked",0.58,93.5,1.32,346.0,124.0,other
"Apples, dried, sulfured, stewed, with added sugar",0.07,20.7,0.2,83.0,19.0,other
"Apples, dried, sulfured, stewed, without added sugar",0.07,15.3,0.22,57.0,20.0,other
"Apples, dried, sulfured, uncooked",0.32,65.9,0.93,243.0,87.0,other
"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",0.33,12.0,0.29,47.0,3.0,other
"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",0.32,12.3,0.28,48.0,3.0,other
"Apples, fuji, with skin, raw",0.162,15.7,0.148,0.0,1.01,other
"Apples, gala, with skin, raw",0.15,14.8,0.133,0.0,0.279,other
"Apples, granny smith, with skin, raw",0.138,14.1,0.266,0.0,0.0,other
"Apples, honeycrisp, with skin, raw",0.1,14.7,0.102,0.0,0.138,other
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",0.18,15.2,0.2,63.0,1.0,other
"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",0.12,13.7,0.25,57.0,1.0,other
"Apples, raw, golden delicious, with skin",0.15,13.6,0.28,57.0,2.0,other
"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",0.19,13.6,0.44,58.0,1.0,other
"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",0.2,14.1,0.27,59.0,1.0,other
"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",0.17,13.8,0.26,52.0,1.0,other
"Apples, raw, without skin",0.13,12.8,0.27,48.0,0.0,other
"Apples, raw, without skin, cooked, boiled",0.36,13.6,0.26,53.0,1.0,other
"Apples, raw, without skin, cooked, microwave",0.42,14.4,0.28,56.0,1.0,other
"Apples, red delicious, with skin, raw",0.212,14.8,0.188,0.0,0.0,other
"Applesauce, canned, sweetened, with salt",0.18,19.9,0.18,76.0,28.0,other
"Applesauce, canned, sweetened, without salt",0.17,17.5,0.16,68.0,2.0,other
"Applesauce, canned, unsweetened, with added ascorbic acid",0.1,11.3,0.17,42.0,2.0,other
"Applesauce, canned, unsweetened, without added ascorbic acid (Includes foods for USDA's Food Distribution Program)",0.1,11.3,0.17,42.0,2.0,other
"Applesauce, unsweetened, with added vitamin C",0.162,12.3,0.273,0.0,0.504,other
"Apricot nectar, canned, with added ascorbic acid",0.45,13.6,0.17,56.0,8.0,other
"Apricot, with skin, raw",0.405,10.2,0.961,0.0,0.0,other
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",0.04,24.8,0.55,96.0,13.0,other
"Apricots, canned, extra light syrup pack, with skin, solids and liquids (Includes foods for USDA's Food Distribution Program)",0.1,12.5,0.6,49.0,2.0,other
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",0.08,21.5,0.53,83.0,4.0,other
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",0.09,21.4,0.51,83.0,11.0,other
"Apricots, canned, heavy syrup, drained",0.11,21.3,0.64,83.0,4.0,other
"Apricots, canned, juice pack, with skin, solids and liquids",0.04,12.3,0.63,48.0,4.0,other
"Apricots, canned, light syrup pack, with skin, solids and liquids",0.05,16.5,0.53,63.0,4.0,other
"Apricots, canned, water pack, with skin, solids and liquids",0.16,6.39,0.71,27.0,3.0,other
"Apricots, canned, water pack, without skin, solids and liquids",0.03,5.48,0.69,22.0,11.0,other
"Apricots, dehydrated (low-moisture), sulfured, stewed",0.24,32.6,1.93,126.0,5.0,other
"Apricots, dehydrated (low-moisture), sulfured, uncooked",0.62,82.9,4.9,320.0,13.0,other
"Apricots, dried, sulfured, stewed, with added sugar",0.15,29.3,1.17,113.0,3.0,other
"Apricots, dried, sulfured, stewed, without added sugar",0.18,22.2,1.2,85.0,4.0,other
"Apricots, dried, sulfured, uncooked",0.51,62.6,3.39,241.0,10.0,other
"Apricots, frozen, sweetened",0.1,25.1,0.7,98.0,4.0,other
"Apricots, raw",0.39,11.1,1.4,48.0,1.0,other
"ARBY'S, roast beef sandwich, classic",10.3,22.2,15.2,242.0,653.0,other
"Archway Home Style Cookies, Chocolate Chip Ice Box",24.4,65.0,4.28,497.0,270.0,other
"Archway Home Style Cookies, Coconut Macaroon",22.6,61.2,3.02,460.0,200.0,other
"Archway Home Style Cookies, Date Filled Oatmeal",12.0,68.2,4.67,400.0,331.0,other
"Archway Home Style Cookies, Dutch Cocoa",15.0,69.4,4.5,431.0,384.0,other
"Archway Home Style Cookies, Frosty Lemon",17.1,64.8,4.41,430.0,449.0,other
"Archway Home Style Cookies, Iced Molasses",14.4,69.1,3.5,420.0,605.0,other
"Archway Home Style Cookies, Iced Oatmeal",16.5,66.8,4.89,435.0,377.0,other
"Archway Home Style Cookies, Molasses",12.1,69.4,4.25,403.0,577.0,other
"Archway Home Style Cookies, Oatmeal",14.1,68.2,5.48,421.0,394.0,other
"Archway Home Style Cookies, Oatmeal Raisin",12.1,69.3,5.17,406.0,339.0,other
"Archway Home Style Cookies, Old Fashioned Molasses",11.8,70.6,4.27,406.0,561.0,other
"Archway Home Style Cookies, Old Fashioned Windmill Cookies",17.6,72.2,5.17,468.0,471.0,other
"Archway Home Style Cookies, Peanut Butter",24.3,58.5,9.0,480.0,404.0,other
"Archway Home Style Cookies, Raspberry Filled",13.3,65.9,4.35,400.0,334.0,other
"Archway Home Style Cookies, Reduced Fat Ginger Snaps",11.1,76.2,4.67,424.0,406.0,other
"Archway Home Style Cookies, Strawberry Filled",13.3,65.9,4.35,400.0,377.0,other
"Archway Home Style Cookies, Sugar Free Oatmeal",20.9,67.2,5.54,442.0,308.0,other
"Arrowhead, cooked, boiled, drained, with salt",0.1,16.1,4.49,78.0,254.0,other
"Arrowhead, cooked, boiled, drained, without salt",0.1,16.1,4.49,78.0,18.0,other
"Arrowhead, raw",0.29,20.2,5.33,99.0,22.0,other
Arrowroot flour,0.1,88.2,0.3,357.0,2.0,other
"Arrowroot, raw",0.2,13.4,4.24,65.0,26.0,other
"Artichokes, (globe or french), cooked, boiled, drained, with salt",0.34,11.4,2.89,51.0,296.0,other
"Artichokes, (globe or french), cooked, boiled, drained, without salt",0.34,12.0,2.89,53.0,60.0,other
"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",0.5,9.18,3.11,45.0,289.0,other
"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",0.5,9.18,3.11,45.0,53.0,other
"Artichokes, (globe or french), frozen, unprepared",0.43,7.75,2.63,38.0,47.0,other
"Artichokes, (globe or french), raw",0.15,10.5,3.27,47.0,94.0,other
"Artificial Blueberry Muffin Mix, dry",8.7,77.4,4.7,407.0,760.0,other
"Arugula, baby, raw",0.325,5.37,1.65,0.0,86.9,other
"Arugula, raw",0.66,3.65,2.58,25.0,27.0,other
Ascidians (tunughnak) (Alaska Native),0.5,0.0,3.8,20.0,656.0,other
"Asparagus, canned, drained solids",0.65,2.46,2.14,19.0,287.0,other
"Asparagus, canned, no salt added, solids and liquids",0.18,2.48,1.8,15.0,26.0,other
"Asparagus, canned, regular pack, solids and liquids",0.18,2.48,1.8,15.0,284.0,other
"Asparagus, cooked, boiled, drained",0.22,4.11,2.4,22.0,14.0,other
"Asparagus, cooked, boiled, drained, with salt",0.22,4.11,2.4,22.0,240.0,other
"Asparagus, frozen, cooked, boiled, drained, with salt",0.42,1.92,2.95,18.0,240.0,other
"Asparagus, frozen, cooked, boiled, drained, without salt",0.42,1.92,2.95,18.0,3.0,other
"Asparagus, frozen, unprepared",0.23,4.1,3.23,24.0,8.0,other
"Asparagus, green, raw",0.216,5.1,1.44,0.0,2.46,other
"Asparagus, raw",0.12,3.88,2.2,20.0,2.0,other
"Avocado, Hass, peeled, raw",20.3,8.32,1.81,0.0,0.0,other
"Avocados, raw, all commercial varieties",14.7,8.53,2.0,160.0,7.0,other
"Avocados, raw, California",15.4,8.64,1.96,167.0,8.0,other
"Avocados, raw, Florida",10.1,7.82,2.23,120.0,2.0,other
"Babyfood, apple yogurt dessert, strained",1.6,19.5,0.8,93.0,20.0,other
"Babyfood, apple-banana juice",0.1,12.3,0.2,51.0,4.0,other
"Babyfood, apples with ham, strained",0.9,10.9,2.6,62.0,9.0,other
"Babyfood, apples, dices, toddler",0.36,11.6,0.19,50.0,2.0,other
"Babyfood, Baby MUM MUM Rice Biscuits",0.87,83.2,12.5,391.0,313.0,other
"Babyfood, baked product, finger snacks cereal fortified",9.9,76.7,6.4,421.0,0.0,other
"Babyfood, banana apple dessert, strained",0.2,16.3,0.3,68.0,7.0,other
"Babyfood, banana juice with low fat yogurt",0.8,17.5,2.5,86.0,37.0,other
"Babyfood, banana no tapioca, strained",0.2,21.3,1.0,91.0,2.0,other
"Babyfood, banana with mixed berries, strained",0.36,21.3,1.01,92.0,0.0,other
"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS",0.0,7.35,0.0,29.0,11.0,other
"Babyfood, carrots and beef, strained",2.5,5.7,3.4,59.0,69.0,other
